text,label
SCAM ALERT from your bank: Large withdrawal pending. Confirm or cancel: http://bankconfirm.xyz,scam
Hi! I made your favorite pasta for dinner. When will you be home?,ham
"Congratulations! You've been selected for a $1,000 Amazon gift card. Claim within 24 hours!",scam
You have a voicemail from the Social Security Administration. Call: 1-888-SSA-FAKE to listen.,scam
Can you send me the report by end of day? Thanks!,ham
The webinar on cybersecurity best practices is live. Join at: security.company.com/webinar,ham
You owe money to the government. Pay via gift cards to avoid arrest.,scam
Hi! Just a reminder that rent is due on the 1st. Thanks!,ham
Annual safety training is mandatory this year. Schedule your session by July 31.,ham
Shocking weight loss pill! Lose 30lbs in 30 days. Free trial – just pay $9.99 shipping.,scam
Your Spotify Premium subscription renews automatically on July 1. Manage at spotify.com.,ham
"Your LinkedIn connection request from John Smith, Senior Developer at TechCorp, is pending.",ham
"You owe $1,200 to the government. Pay in iTunes gift cards to avoid arrest. Call now!",scam
Free timeshare vacation! 3 days/2 nights free. Just attend a 90-min presentation and pay $50.,scam
The meeting has been rescheduled to 3 PM on Friday. Calendar invite updated.,ham
Monthly newsletter: Check out what's happening in our community this July!,ham
WINNER: Text WIN to 90999 to claim your $500 Walmart gift card. Standard rates apply.,scam
Meeting notes from today's session attached. Action items assigned in the project tracker.,ham
Your NDA has been signed and returned by the client. Original filed in legal documents folder.,ham
Limited offer: 500% returns on investment. Contact us to learn more.,scam
Great working with you on this project! Let's grab coffee next week to debrief.,ham
The office will be closed on Friday for the public holiday. Enjoy the long weekend!,ham
PRIZE ALERT: You won a Samsung Galaxy S24. Claim within 1 hour: prize-claim-now.xyz,scam
Your bank statement for June is now available. Log in at our official website to view.,ham
Your loan payment was received. Thank you. Next payment due on August 1st.,ham
The new cafe downtown is amazing. Let's go there after work on Friday!,ham
"Limited offer: Penny stocks about to explode 10,000%! Invest now before it's too late!",scam
Welcome to the neighborhood! Community events calendar attached. Hope to see you around!,ham
You have been selected for a cash prize. Send personal details to claim.,scam
"Hi, I saw your presentation today. It was really impressive and well-researched!",ham
The road on Main Street will be under construction from Monday to Friday next week.,ham
Your electricity will be cut off in 2 hours unless you pay $180 in Google Play gift cards.,scam
WARNING: Suspicious transaction on your account. Freeze and verify: http://bank-freeze.xyz,scam
Your mortgage statement for June 2026 is now available online.,ham
You've won a free cruise to the Bahamas! Provide credit card details for processing fee.,scam
Thank you for renewing your membership! Your benefits continue through December 2026.,ham
"You've inherited $8,000,000 from unknown relative. Pay $1,500 legal fee to claim estate.",scam
Congratulations you are today's lucky visitor! Spin to win iPhone or MacBook: spinwin.xyz,scam
Your prescription refill is ready at CVS Pharmacy. Pickup anytime during business hours.,ham
Reminder: Your dentist appointment is scheduled for Thursday at 2:30 PM.,ham
Your gym membership has been renewed. See you at the fitness center!,ham
Your Apple ID has been locked due to suspicious activity. Verify now: http://apple-id-verify.xyz,scam
"You have been pre-approved for a credit card with a $20,000 limit. No checks.",scam
"FREE money from government stimulus! Claim $3,200 grant: http://gov-stimulus-claim.xyz",scam
IMPORTANT: Your stimulus check is ready. Verify SSN and bank details at: gov-stimulus.xyz,scam
Free money from COVID relief fund. Register now before deadline.,scam
"Hey, are we still meeting for lunch tomorrow at 12?",ham
Tech support from Google: Your account hacked. Call 1-888-GOOGLE-FAKE to secure it now.,scam
FREE iPhone 15 Pro! You are our lucky winner. Visit claimyourprize.net to collect. Limited time only!,scam
Can you review the draft contract and send comments by Wednesday? Thanks.,ham
Your library book is due back on July 5th. Renew online at library.gov if needed.,ham
LAST CHANCE: Claim your unclaimed funds from the national reserve. Reply with ID details.,scam
ALERT: Suspicious activity detected on your credit card. Click to verify: http://bankverify.xyz,scam
Your appointment with Dr. Smith is confirmed for Monday July 8 at 10:00 AM.,ham
Exclusive binary trading system: 99% win rate guaranteed. Deposit $250 to start earning!,scam
"Dear customer, your bank account will be suspended. Call +1-800-FAKE-NUM now to avoid suspension.",scam
Investment opportunity: 300% returns guaranteed in 30 days. Send Bitcoin to this wallet: 1A2B3C...,scam
EXCLUSIVE: Join our MLM team and earn passive income! Pay $200 starter pack today!,scam
Family BBQ this Sunday at 4 PM! Please bring a dish to share. See you there!,ham
Your Airbnb reservation is confirmed. Host will send check-in instructions 24 hours before.,ham
The school play is on Thursday evening. Doors open at 6:30 PM. Admission is free.,ham
Your online course completion certificate has been emailed to you. Congrats on finishing!,ham
"NFT exclusive drop! Buy whitelist spot for 0.5 ETH, guaranteed 100x returns. DM now!",scam
"Hi team, the sprint review is tomorrow at 2 PM. Please have your demos ready.",ham
Your PayPal account is limited. Please confirm your information at: http://paypal-secure-update.com,scam
I left my umbrella at your place. Can I stop by tomorrow to pick it up?,ham
Your medical test results are ready. Please contact your doctor for details.,ham
"Your account security question answer has changed. If not you, verify: http://account-fake.xyz",scam
Your Instagram account will be disabled. Verify: http://instagram-verify-fake.xyz immediately!,scam
Hi! Our book club is meeting at Sarah's house this Saturday at 7 PM.,ham
Your internet service will be temporarily down for maintenance from 2-4 AM on Sunday.,ham
Your subscription to Netflix Premium Plus was charged $89.99. Cancel: http://netflix-cancel.xyz,scam
Good morning! Today's team standup is at 9 AM. Please join the usual Zoom link.,ham
"Good luck on your exam tomorrow! You've worked so hard, you're going to do great!",ham
Greetings! Powerball jackpot unclaimed. Your ticket number matched. Contact us to claim.,scam
Work from home opportunity! Earn $500/day liking photos on Instagram. Sign up fee $50.,scam
URGENT: Package cannot be delivered. Pay $2.99 customs fee here: http://fedex-delivery.xyz/pay,scam
URGENT: Your cloud storage is 100% full. Upgrade or lose all data: cloudstorage-upgrade.xyz,scam
Team standup is moved to 10 AM today. See you in the Zoom room.,ham
You've qualified for the senior citizen discount program! Provide Medicare details to enroll.,scam
Exclusive offer: Buy 2 get 10 free! 90% off luxury watches. Limited stock. Order: fakeshop.xyz,scam
URGENT: Your account has been compromised. Click here immediately to verify: http://secure-login-verify.xyz/account,scam
Romance offer from a lonely millionaire. Help me transfer funds and keep 10%.,scam
Great job on the product demo today! The investors were very impressed.,ham
Staff picnic this Friday! Food and drinks provided. Families welcome. RSVP to HR.,ham
FINAL WARNING: Your car warranty is about to expire. Press 1 to speak with a specialist now.,scam
Your attendance record for June has been updated in the HR system.,ham
Marketing team: Campaign analytics for June ready in the shared drive. Please review.,ham
"Emergency! Friend/family member in jail abroad. Need $2,000 wired for bail. Please help!",scam
WARNING: 3 viruses detected on your PC. Download our antivirus software NOW: antivirusfake.com,scam
Claim your inheritance today. A wealthy person left money in your name.,scam
Verify your bank details or your account will be closed within 24 hours.,scam
Netflix: New episodes of your favorite show are now available. Enjoy watching!,ham
Sales report Q2: Revenue up 18% YoY. Great work everyone! Detailed report attached.,ham
The weather forecast says it will rain this weekend. Don't forget your umbrella!,ham
Warning: your device has been hacked. Call our support number immediately.,scam
Friendly reminder to complete the health and safety survey before end of week.,ham
Romance scam: I am a US soldier stationed abroad. I need money for emergency leave. Please help!,scam
Annual performance reviews are due by end of this month. Please complete your self-assessment.,ham
Your new credit card will arrive by mail in 5-7 business days. Activate at our official site.,ham
Happy birthday! Hope you have a wonderful day filled with joy and laughter.,ham
"Hello dear, I saw your profile and fell in love. I am a wealthy widow. Can we talk?",scam
Parking permit renewal reminder. Visit the city website to renew before June 30.,ham
"Your hotel reservation at Marriott is confirmed. Check-in: July 12, Check-out: July 15.",ham
Amazon Prime renewal failed. Update payment to keep your benefits: amazon-update-fake.com,scam
Just finished reading that novel you recommended. It was absolutely fantastic!,ham
Reminder from accounting: Year-end financial statements due to audit team by July 15.,ham
The conference call with the Singapore team is scheduled for 8 AM on Wednesday.,ham
"Hi, class tomorrow is cancelled due to professor travel. Make-up session TBD.",ham
Water bill enclosed. Amount due: $45.30. Pay by July 20 at city.gov or by mail.,ham
You owe back taxes. IRS agents will arrest you if you don't call within 1 hour: 1-888-TAX-FAKE,scam
"Staff meeting agenda for Monday: Q3 planning, budget review, and team updates.",ham
